Europawahl 2024;
Vorläufiges Ergebnis;
Nr;Gebiet;gehört zu;Wahlberechtigte;;Wählende;;Ungültige Stimmen;;Gültige Stimmen;;Christlich Demokratische Union Deutschlands;;BÜNDNIS 90/DIE GRÜNEN;;Sozialdemokratische Partei Deutschlands;;Alternative für Deutschland;;Christlich-Soziale Union in Bayern e.V.;;DIE LINKE;;Freie Demokratische Partei;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;FREIE WÄHLER;;PARTEI MENSCH UMWELT TIERSCHUTZ;;Ökologisch-Demokratische Partei, Die Naturschutzpartei;;Familien-Partei Deutschlands;;Volt Deutschland;;Piratenpartei Deutschland;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;Die Heimat;;Aktion Partei für Tierschutz;;Partei für schulmedizinische Verjüngungsforschung;;Bündnis für Innovation & Gerechtigkeit;;Bündnis C - Christen für Deutschland;;Partei der Humanisten;;Menschliche Welt, für das Wohl und Glücklichsein aller;;Deutsche Kommunistische Partei;;Marxistisch-Leninistische Partei Deutschlands;;Sozialistische Gleichheitspartei, Vierte Internationale;;Aktion Bürger für Gerechtigkeit;;Basisdemokratische Partei Deutschland;;BÜNDNIS DEUTSCHLAND;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;Demokratische Allianz für Vielfalt und Aufbruch;;Klimaliste Deutschland;;Parlament aufmischen – Stimme der Letzten Generation;;Partei der Vernunft;;Partei des Fortschritts;;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;;Übrige;;
01056;Pinneberg;01;243302;239300;161663;150689;1029;1005;160634;149684;48372;39119;23972;43260;28131;25994;18901;11681;;;3465;5480;11574;9465;2847;3258;1653;1102;2422;2049;628;691;1078;1119;4232;794;852;1254;387;452;97;182;536;352;79;169;70;194;180;152;332;222;191;94;48;54;39;22;22;15;71;;468;;735;;6635;;552;;108;;343;;90;;1292;;232;;;2510;
01057;Plön;01;107875;105085;73378;66925;485;424;72893;66501;23139;18150;11751;19797;12624;11683;8536;4846;;;1315;2067;4404;3618;1397;1365;916;559;1082;900;214;231;553;564;1646;292;393;582;100;142;50;100;274;172;31;76;17;20;80;65;137;81;97;57;14;25;12;24;10;9;27;;322;;275;;2611;;63;;41;;138;;43;;470;;111;;;1076;
01058;Rendsburg-Eckernförde;01;224976;218614;151475;136614;899;793;150576;135821;49203;38936;23197;39806;24771;22593;17527;9206;;;2713;4221;9456;7544;3319;2993;1769;1001;2411;2091;457;573;1114;1205;2832;532;830;1302;212;327;125;195;560;317;50;178;55;87;130;95;314;201;181;97;44;36;26;29;31;15;72;;628;;642;;5867;;263;;87;;309;;108;;1058;;215;;;2241;
01059;Schleswig-Flensburg;01;166007;159674;109312;95525;732;618;108580;94907;35545;27527;16340;28887;17495;15339;12730;5705;;;2010;3123;6098;4739;1987;1880;1924;1087;1822;1474;335;361;1090;997;1932;409;595;841;149;170;69;103;488;256;46;131;40;28;64;55;211;117;178;61;29;24;17;20;13;11;70;;413;;548;;4890;;99;;44;;214;;100;;809;;186;;;1562;
01060;Segeberg;01;219833;212630;141538;126584;833;766;140705;125818;44233;34078;18163;33886;22441;21105;19268;10296;;;2693;4597;10032;8446;3203;2552;1774;1407;2264;1937;460;590;1247;1403;3111;653;806;1065;233;309;102;212;461;304;73;147;67;71;140;143;284;168;185;92;33;43;24;18;16;13;86;;560;;716;;5796;;355;;106;;266;;92;;1190;;225;;;2283;
01061;Steinburg;01;106230;104839;68182;60505;467;387;67715;60118;22579;17285;8082;16150;10394;9848;10247;4675;;;1235;2159;3907;3682;1426;1272;1169;593;1028;978;209;200;589;598;1244;287;365;613;106;99;59;123;253;159;18;61;20;42;70;76;147;97;109;49;33;21;15;11;12;10;58;;283;;305;;2743;;117;;41;;137;;56;;543;;116;;;1030;
01062;Stormarn;01;191657;188732;132641;123481;784;617;131857;122864;40658;32902;20840;36077;22015;19924;15249;9778;;;2513;4138;9988;8459;2379;2403;1229;938;1930;1607;475;674;927;1078;3338;710;693;834;253;300;66;157;421;263;65;148;40;98;143;103;267;168;153;75;23;51;14;11;17;13;58;;402;;571;;5056;;318;;99;;287;;87;;1075;;208;;;1955;
01;Schleswig-Holstein;99;2315375;2269361;1490483;1354037;9662;8369;1480821;1345668;447836;353020;228598;391868;247348;230014;180443;100258;;;33617;50345;93732;79538;30763;31467;18252;11907;23630;19767;4871;5844;11518;12056;37640;7529;8363;12253;3210;3715;1095;2096;5512;3216;640;1680;609;1112;1529;1262;3216;2225;1975;1002;442;514;349;314;226;176;752;;5057;;6308;;60328;;3866;;1058;;3543;;1068;;11095;;2332;;;22490;
;
02000;Hamburg, Freie und Hansestadt;02;1321817;1302548;868354;805905;7937;9473;860417;796432;158535;140966;182116;247719;161254;157840;68961;51649;;;44289;55375;60282;44355;21694;30138;4092;3392;12909;10973;3483;5504;2763;2551;51210;9455;5388;6478;5832;6375;320;877;2445;1403;419;790;847;2640;946;801;2125;1601;1088;763;588;520;328;353;122;88;322;;1712;;2746;;42366;;7651;;1012;;5152;;476;;5404;;1540;;;13826;
02;Hamburg;99;1321817;1302548;868354;805905;7937;9473;860417;796432;158535;140966;182116;247719;161254;157840;68961;51649;;;44289;55375;60282;44355;21694;30138;4092;3392;12909;10973;3483;5504;2763;2551;51210;9455;5388;6478;5832;6375;320;877;2445;1403;419;790;847;2640;946;801;2125;1601;1088;763;588;520;328;353;122;88;322;;1712;;2746;;42366;;7651;;1012;;5152;;476;;5404;;1540;;;13826;
;
03101;Braunschweig, Stadt;03;189994;190413;125658;122195;465;573;125193;121622;28003;27475;22659;34110;25265;24209;12027;8329;;;3928;5764;7215;6281;3441;4831;853;598;2120;1782;705;765;519;611;6345;1612;1075;1159;492;567;61;177;543;284;69;131;115;323;165;141;460;338;132;73;50;33;73;64;13;18;47;;340;;458;;5368;;625;;150;;610;;93;;941;;233;;;1947;
03102;Salzgitter, Stadt;03;70385;72737;38773;37215;339;393;38434;36822;10123;9268;2340;5440;8670;9457;8468;5519;;;807;1759;1547;1538;663;796;354;263;598;637;73;102;189;287;456;144;140;204;145;50;41;149;223;138;24;78;23;175;50;48;63;56;52;18;14;10;7;9;9;10;26;;62;;134;;2124;;672;;16;;48;;22;;207;;44;;;667;
03103;Wolfsburg, Stadt;03;87768;89191;52826;50390;354;324;52472;50066;15244;14495;5115;8970;11409;12056;8250;5105;;;918;1811;2868;2482;924;1153;374;276;800;820;138;267;291;337;1105;217;305;359;140;102;44;124;245;152;26;89;43;70;136;152;102;70;83;36;13;37;28;28;4;7;29;;128;;259;;2670;;206;;32;;58;;51;;361;;73;;;851;
03151;Gifhorn;03;138358;136223;91137;82780;643;507;90494;82273;28310;26026;8683;15740;17677;17360;15484;8047;;;1415;2629;4851;3943;1573;1855;1132;519;1355;1289;221;363;601;614;1425;356;454;529;93;181;64;144;418;272;44;151;60;74;539;584;161;128;111;61;24;21;21;19;6;10;56;;225;;439;;3762;;301;;35;;130;;71;;631;;122;;;1358;
03153;Goslar;03;104368;107632;61614;62885;301;495;61313;62390;18302;17949;5277;10754;13153;15236;10000;6409;;;1203;2449;3507;3052;1151;1550;748;340;1074;1142;138;244;394;415;1060;310;276;385;100;133;43;212;361;241;40;111;16;87;59;45;108;111;74;38;14;16;6;13;10;9;40;;141;;279;;2976;;194;;35;;93;;47;;320;;74;;;1139;
03154;Helmstedt;03;72153;73182;45470;42754;245;326;45225;42428;14056;13022;3630;6885;9678;10514;7739;3895;;;681;1470;2242;2101;797;963;571;274;763;806;184;197;327;341;648;167;261;282;44;91;47;208;274;161;28;80;20;29;41;57;78;61;57;29;4;16;5;10;5;6;13;;149;;216;;2148;;77;;16;;58;;22;;284;;62;;;763;
03155;Northeim;03;106365;107594;64771;60355;399;361;64372;59994;19697;16764;5989;11405;15362;16431;9565;4877;;;1069;1930;3255;2959;1068;1354;775;352;971;852;150;199;346;399;818;237;295;335;99;110;45;163;321;201;31;98;20;59;88;128;115;68;79;40;15;14;12;12;7;10;32;;120;;222;;3081;;127;;32;;124;;31;;341;;70;;;997;
03157;Peine;03;105808;103605;69274;64184;328;418;68946;63766;19827;16993;6500;12304;16103;16669;10578;5936;;;1130;2229;3516;2931;1216;1513;918;388;1169;1119;173;251;446;507;1234;322;393;412;131;128;42;142;389;211;30;105;29;191;95;100;144;101;81;45;19;13;16;15;5;7;34;;200;;337;;2924;;565;;33;;92;;40;;448;;89;;;1134;
03158;Wolfenbüttel;03;96108;96324;65536;62070;369;402;65167;61668;19420;17032;7730;13082;14279;14374;8811;5512;;;1198;2185;3559;3050;1261;1815;695;330;1038;1031;193;256;398;357;1362;328;407;454;93;129;48;141;320;193;39;80;26;92;62;50;102;95;103;51;14;15;11;10;11;8;25;;182;;288;;2566;;187;;41;;131;;39;;445;;83;;;998;
03159;Göttingen;03;248651;253354;158769;152703;923;745;157846;151958;43363;38912;24824;38410;32447;33889;17043;10309;;;5153;6652;8410;6862;3389;4226;1588;1352;2196;2055;540;666;776;834;4679;1352;767;1010;588;834;113;276;677;375;82;187;72;165;176;160;395;393;164;93;77;73;37;50;20;16;87;;224;;459;;7055;;489;;167;;705;;93;;797;;194;;;2807;
03241;Region Hannover;03;846453;844533;558227;540175;2379;2752;555848;537423;147606;132337;91668;140558;109240;112047;62703;43422;;;15083;23979;30721;26322;11925;15886;4657;3071;9114;7842;1714;2454;2479;2872;17132;3611;3784;4331;2133;2130;319;726;2556;1320;339;761;485;1842;863;859;1402;1166;647;406;233;290;214;229;60;56;265;;987;;2159;;24532;;3473;;461;;1992;;359;;3721;;822;;;8906;
03251;Diepholz;03;173605;169375;109897;105348;495;681;109402;104667;36374;33709;11440;22484;21246;21150;13706;7850;;;1991;3533;6784;6581;2000;2189;2041;710;1520;1418;359;524;665;665;1857;427;461;601;195;195;57;155;511;296;50;163;49;80;152;98;218;175;142;73;20;24;16;19;13;12;69;;240;;561;;5030;;299;;68;;225;;83;;834;;126;;;1536;
03252;Hameln-Pyrmont;03;115087;116288;70095;67945;385;413;69710;67532;20985;19200;7544;13908;14600;15755;11383;6648;;;1211;2609;3612;3180;1127;1273;787;424;1083;971;178;225;413;441;828;280;351;434;128;141;44;119;423;249;32;87;44;102;105;110;133;79;91;40;22;15;14;8;11;11;35;;140;;311;;3066;;246;;56;;113;;61;;447;;86;;;1223;
03254;Hildesheim;03;216581;217020;140694;135482;629;663;140065;134819;41438;37713;17218;30585;29983;31123;19445;11272;;;3197;5024;6890;6048;2594;3216;1413;747;2347;2050;463;555;806;879;2646;627;770;773;329;307;105;260;705;410;86;175;80;165;183;224;276;238;181;91;29;54;29;25;18;20;97;;245;;567;;5935;;394;;99;;309;;93;;906;;189;;;2238;
03255;Holzminden;03;54889;55950;33123;33503;203;372;32920;33131;9881;9913;2767;5508;7642;9336;5478;2759;;;503;924;1993;1902;544;558;359;167;442;435;70;98;205;234;394;100;155;188;54;43;29;72;189;116;15;33;13;32;87;88;47;41;31;17;5;11;3;2;7;3;20;;56;;111;;1420;;104;;20;;47;;25;;175;;29;;;551;
03256;Nienburg (Weser);03;95409;94437;58096;53561;269;352;57827;53209;18815;17389;5622;10762;11351;11554;9092;4601;;;946;1657;2632;2554;1005;1069;1867;323;829;693;104;159;342;351;739;204;284;324;74;116;33;114;250;121;26;104;25;27;78;51;130;91;54;45;6;14;9;8;11;10;22;;116;;244;;2418;;134;;22;;111;;32;;330;;74;;;868;
03257;Schaumburg;03;125179;124384;79481;72992;376;399;79105;72593;23498;20079;8765;15795;17093;17483;11886;6544;;;1250;2296;3951;3234;1379;1549;1666;496;1323;1153;226;300;515;549;991;305;341;451;100;148;60;114;434;205;46;105;23;138;191;158;159;102;105;50;13;20;16;15;10;9;50;;196;;315;;3235;;348;;50;;137;;63;;579;;91;;;1295;
03351;Celle;03;141549;139021;87401;83672;538;435;86863;83237;29314;26932;9098;16508;14799;15024;13842;9096;;;1570;2703;5187;4657;1530;1712;1118;807;1305;1342;227;316;534;584;1536;357;376;462;104;186;57;153;447;294;52;132;33;36;188;215;153;116;112;60;18;27;7;15;9;8;49;;234;;416;;3450;;108;;52;;151;;63;;634;;90;;;1495;
03352;Cuxhaven;03;161299;158334;100827;97886;501;832;100326;97054;37732;36581;9071;17489;19142;19955;14257;7845;;;1583;3275;4521;3709;1483;1593;1117;756;1626;1438;239;275;583;555;1365;355;382;519;125;140;63;176;544;286;42;133;28;36;107;65;167;135;103;68;13;23;21;22;11;17;44;;216;;503;;4099;;152;;47;;159;;65;;607;;109;;;1608;
03353;Harburg;03;207813;199955;141778;132929;590;828;141188;132101;43993;38070;18747;34654;23461;21515;18329;11358;;;2764;4437;9931;7935;2569;2754;2241;1309;2469;2584;530;721;831;843;3248;771;694;839;284;408;105;192;613;315;82;169;69;87;237;216;292;183;205;99;43;36;18;28;25;10;73;;419;;672;;6052;;272;;93;;310;;125;;1179;;213;;;2568;
03354;Lüchow-Dannenberg;03;39668;39160;25357;23088;110;147;25247;22941;6705;6175;4201;6558;4145;3915;3135;1710;;;953;1269;1092;896;685;595;847;125;429;333;103;151;153;167;286;91;152;121;56;107;17;39;118;73;14;32;8;2;26;39;28;19;34;23;20;12;8;11;4;6;8;;86;;61;;1470;;12;;17;;208;;11;;116;;39;;;472;
03355;Lüneburg;03;147046;142507;100457;95397;615;666;99842;94731;24777;23611;18170;27046;17772;17596;11941;7151;;;3442;4530;5851;3914;2118;2614;1150;515;1895;1728;396;608;534;567;2706;874;648;724;343;393;68;216;523;262;63;135;43;53;114;77;226;142;142;90;25;33;18;15;21;7;47;;364;;437;;4455;;130;;106;;437;;69;;670;;141;;;1830;
03356;Osterholz;03;92450;90731;60295;56826;273;310;60022;56516;18402;16084;7710;13754;12107;11606;7498;4550;;;1451;2714;3042;2699;990;1105;536;344;922;818;195;201;341;355;1297;251;265;317;96;155;48;89;299;173;33;66;31;32;102;73;120;118;70;44;9;17;12;11;7;6;33;;172;;304;;2973;;139;;43;;125;;43;;536;;71;;;934;
03357;Rotenburg (Wümme);03;132480;129318;86919;80401;371;456;86548;79945;33145;28225;8499;17223;14998;14467;11582;5814;;;1545;2641;4390;4221;1366;1708;1288;768;1115;1074;203;249;522;557;1562;325;351;476;94;159;65;164;330;207;44;123;44;35;131;107;146;108;105;67;18;17;5;16;8;13;42;;166;;360;;3348;;95;;61;;183;;57;;595;;85;;;1181;
03358;Heidekreis;03;110766;108608;69064;64342;399;406;68665;63936;22098;19910;6241;12856;14412;14195;10672;5766;;;1087;1987;3489;3243;1123;1179;1080;442;1075;984;217;258;459;454;1333;245;342;380;97;117;68;147;347;201;43;101;30;22;94;107;115;85;85;47;7;28;11;8;15;11;50;;108;;267;;2883;;90;;47;;95;;41;;454;;90;;;1163;
03359;Stade;03;161594;157508;105393;98083;458;593;104935;97490;35956;30779;11859;22224;19003;18491;14809;8245;;;1951;3434;5197;4715;1767;1965;1402;842;1477;1558;271;361;671;654;2231;621;543;784;160;212;65;238;434;249;55;108;36;92;91;80;213;147;109;70;26;24;9;15;12;14;52;;181;;483;;4379;;315;;45;;189;;82;;748;;114;;;1568;
03360;Uelzen;03;76118;74964;48960;46290;257;375;48703;45915;15365;15072;5184;9501;9341;9168;7285;4038;;;960;1550;2641;2348;855;906;932;225;802;651;164;191;326;300;733;235;280;327;86;87;43;89;275;144;25;76;25;13;71;67;67;71;71;39;19;21;8;9;3;7;19;;113;;204;;2182;;52;;32;;113;;30;;323;;74;;;780;
03361;Verden;03;108256;105973;69116;68058;285;498;68831;67560;21741;20584;8770;15916;13663;14118;8822;5242;;;1229;2396;3525;3132;1108;1368;790;555;994;929;212;270;370;394;1633;290;313;380;106;157;41;101;275;201;23;88;23;89;106;82;138;106;88;52;16;15;12;12;7;5;41;;155;;323;;3160;;274;;53;;175;;56;;513;;76;;;1078;
03401;Delmenhorst, Stadt;03;55870;56279;30329;29611;212;259;30117;29352;8131;7315;2541;5907;6193;6500;5563;3480;;;711;1434;1299;1403;478;716;270;262;531;607;85;100;205;224;555;128;201;198;59;58;19;48;157;102;13;64;28;118;24;18;70;33;56;21;10;7;5;5;4;5;12;;60;;165;;1895;;381;;12;;57;;31;;261;;35;;;599;
03402;Emden, Stadt;03;37557;37967;21196;22907;150;333;21046;22574;4433;4188;2181;4876;5526;6545;3478;2134;;;580;1282;934;1102;464;617;153;136;405;399;60;47;123;178;349;103;209;200;34;38;20;50;103;66;15;39;12;13;30;33;33;46;25;27;7;31;11;5;5;3;9;;31;;77;;1484;;17;;9;;38;;25;;132;;34;;;416;
03403;Oldenburg (Oldenburg), Stadt;03;132509;129795;88687;84221;387;388;88300;83833;18041;16019;20088;29947;16434;14420;6717;4379;;;3581;5395;4891;3885;2255;3148;501;445;1509;1231;397;579;300;347;5214;593;725;619;343;400;40;100;330;204;38;86;44;105;70;53;348;219;89;58;34;55;29;29;11;9;22;;151;;300;;4153;;236;;92;;461;;51;;641;;164;;;1508;
03404;Osnabrück, Stadt;03;122749;123608;80994;79178;325;393;80669;78785;19530;18653;16744;26208;15592;13966;5847;3780;;;2915;4182;4574;3762;1923;2711;402;301;1215;857;341;456;262;262;4351;678;564;559;412;312;29;73;257;139;31;61;58;217;94;96;246;257;84;48;34;42;15;25;14;8;20;;188;;256;;3093;;448;;83;;346;;38;;548;;115;;;1132;
03405;Wilhelmshaven, Stadt;03;59500;61706;30938;32937;179;315;30759;32622;8156;8502;2816;6412;6679;8470;5123;3021;;;737;1231;1814;1431;708;879;279;325;595;483;78;93;162;231;504;218;227;176;79;90;22;57;181;101;18;54;15;11;22;15;86;80;54;24;10;17;15;18;5;2;23;;63;;149;;1726;;49;;23;;67;;23;;208;;43;;;681;
03451;Ammerland;03;101137;97566;66364;63255;341;463;66023;62792;21626;19150;7765;14780;12502;12396;7904;4419;;;1159;2164;4192;3766;1313;1314;673;415;1037;949;262;597;408;498;1312;285;315;357;71;97;45;98;322;181;36;103;32;30;105;35;143;84;83;34;10;16;7;7;5;9;33;;99;;275;;3421;;75;;27;;110;;51;;516;;89;;;1008;
03452;Aurich;03;156981;153372;96147;92401;799;1377;95348;91024;25342;22122;8197;17673;23671;26003;16293;8282;;;1739;3462;4218;4382;1519;1752;2015;844;1696;1563;238;288;651;711;1038;385;467;572;98;152;74;185;615;367;51;153;35;33;122;146;175;106;142;65;13;24;12;23;15;29;74;;167;;346;;5223;;72;;41;;171;;77;;600;;141;;;1702;
03453;Cloppenburg;03;125521;120227;76775;66148;334;407;76441;65741;36045;31400;4509;10264;8963;8862;12716;4903;;;965;1797;3529;3639;1019;1169;781;284;709;582;113;208;485;549;1145;232;267;349;80;53;55;104;240;131;39;82;33;16;136;206;111;90;87;39;11;6;0;8;7;7;38;;78;;297;;3375;;60;;30;;62;;43;;368;;45;;;761;
03454;Emsland;03;248175;239069;164332;150178;658;991;163674;149187;81016;73445;12126;24494;22097;22028;19063;8120;;;2139;3611;7245;7597;2402;2587;1831;539;1525;1346;295;331;885;948;2434;557;592;718;211;165;67;190;477;240;53;193;62;38;140;118;268;174;190;68;31;26;17;12;22;16;67;;165;;663;;6163;;194;;42;;182;;105;;787;;118;;;1626;
03455;Friesland;03;83379;81384;52023;50517;282;527;51741;49990;15063;13854;5097;10287;11437;12575;7247;3873;;;935;1705;3308;2663;1015;1179;563;297;915;846;156;191;364;381;736;220;267;293;82;93;36;76;295;179;35;81;18;18;34;27;98;64;67;46;11;18;14;18;7;7;38;;217;;261;;2732;;43;;35;;81;;43;;425;;66;;;999;
03456;Grafschaft Bentheim;03;100912;97968;65610;65766;232;427;65378;65339;26713;25492;6018;12069;13721;15485;6259;3088;;;982;1724;3354;3063;903;957;945;243;644;669;161;286;356;395;822;196;241;292;96;76;32;73;222;175;19;70;34;42;65;79;117;51;72;36;6;22;5;10;6;6;23;;73;;234;;2597;;112;;27;;74;;39;;356;;50;;;740;
03457;Leer;03;134961;131488;82530;73354;516;640;82014;72714;24563;19629;6916;14554;18073;18618;14244;6572;;;1506;2683;3462;3381;1608;1786;920;363;1182;1114;244;314;575;610;1059;387;344;409;96;129;55;138;397;224;42;91;44;20;342;184;128;104;122;44;26;26;12;7;8;16;43;;184;;359;;4538;;92;;34;;137;;56;;498;;105;;;1311;
03458;Oldenburg;03;104661;101026;69924;63567;283;287;69641;63280;21653;18017;8516;16006;12560;11426;8983;4914;;;1276;2323;4928;4327;1163;1310;1295;716;1179;973;234;300;412;466;1454;279;349;354;106;132;43;88;335;190;29;94;31;22;54;46;170;107;79;46;23;13;9;5;9;10;36;;128;;343;;3276;;57;;45;;139;;61;;582;;84;;;1116;
03459;Osnabrück;03;278438;272973;184392;171071;775;1109;183617;169962;68262;61372;20453;38162;35858;33789;21038;9553;;;2852;5296;9786;8456;2787;3181;2127;784;2054;1806;439;580;1030;1189;2952;643;808;881;230;299;83;248;613;351;74;219;86;119;327;329;308;220;215;101;34;41;24;24;23;21;73;;412;;694;;7826;;366;;97;;248;;148;;1123;;167;;;2298;
03460;Vechta;03;105420;101152;69870;65089;320;367;69550;64722;35369;31667;5693;11755;7688;7671;7739;3927;;;1020;1522;3359;3733;949;1274;824;326;624;523;226;170;383;383;1171;259;263;309;149;77;33;61;203;93;23;69;32;51;46;30;124;94;87;25;5;20;5;12;5;5;23;;81;;244;;2432;;143;;24;;68;;57;;388;;70;;;666;
